"ID","Role","Edu","Experience","Find"
1,"Statistician","PhD","20+ years","Referred by a colleague"
2,"Applied statistician","Bachelor","20+ years","Referred by a colleague"
3,"Biostatistician","PhD","5-9 years","Professional society"
4,"Applied statistician","PhD","10-19 years","Email"
5,"Statistician","PhD","20+ years","Referred by a colleague"
6,"Biostatistician","PhD","<5 years","Professional society"
7,"Applied statistician","PhD","5-9 years","Referred by a colleague"
8,"Biostatistician","PhD","10-19 years","Professional society"
9,"Data scientist","Masters","<5 years","Referred by a colleague"
10,"Applied statistician","PhD","20+ years","Professional society"
11,"Biostatistician","PhD","5-9 years","Referred by a colleague"
12,"Data scientist","Bachelor","<5 years","Professional society"
13,"Biostatistician","PhD","10-19 years","Email"
14,"Biostatistician","Masters","<5 years","Referred by a colleague"
15,"Biostatistician","Masters","10-19 years","Referred by a colleague"
16,"Data analyst","Diploma","10-19 years","Email"
17,"Biostatistician","Honours","<5 years","Referred by a colleague"
18,"Biostatistician","PhD","20+ years","Email"
19,"Biostatistician","Masters","10-19 years","Referred by a colleague"
20,"Biostatistician","Masters","5-9 years","Referred by a colleague"
21,"Biostatistician","Masters","<5 years","Referred by a colleague"
22,"Applied statistician","Masters","20+ years","Professional society"
23,"Biostatistician","PhD","5-9 years","Professional society"
24,"Data analyst","No formal education","5-9 years","Referred by a colleague"
25,"Biostatistician","PhD","5-9 years","Referred by a colleague"
26,"Applied statistician","PhD","10-19 years","Email"
27,"Other","Masters","10-19 years","Professional society"
28,"Biostatistician","No formal education","5-9 years","Email"
29,"Statistician","PhD","10-19 years","LinkedIn"
30,"Other","PhD","10-19 years","Email"
31,"Biostatistician","PhD","20+ years","LinkedIn"
32,"Biostatistician","PhD","20+ years","Referred by a colleague"
33,"Biostatistician","Masters","5-9 years","Professional society"
34,"Statistician","PhD","<5 years","Email"
35,"Statistician","Honours","<5 years","Referred by a colleague"
36,"Applied statistician","Masters","10-19 years","Referred by a colleague"
37,"Other","PhD","20+ years","Email"
38,"Biostatistician","PhD","5-9 years","Email"
39,"Biostatistician","Masters","<5 years","Referred by a colleague"
40,"Biostatistician","PhD","10-19 years","Professional society"
